Designator,Mid X,Mid Y,Rotation,Layer
,260.0,-27.9,0.0,top
BTN1,26.9,-48.0,180.0,bottom
C1,44.7,-32.9,270.0,bottom
C10,29.4,-30.7,135.0,bottom
C11,32.1,-30.6,45.0,bottom
C12,30.1,-30.0,135.0,bottom
C13,41.0,-38.5,180.0,bottom
C14,17.5,-37.4,270.0,bottom
C15,21.9,-35.5,270.0,bottom
C16,35.9,-32.8,45.0,bottom
C17,37.3,-32.8,45.0,bottom
C2,41.0,-37.5,180.0,bottom
C3,24.4,-38.4,135.0,bottom
C4,39.1,-34.0,0.0,bottom
C5,35.5,-38.4,45.0,bottom
C6,32.4,-42.9,270.0,bottom
C7,23.7,-39.1,135.0,bottom
C8,25.1,-34.0,135.0,bottom
C9,28.7,-31.4,135.0,bottom
D1,9.525,-4.7625,180.0,bottom
D10,40.48125,-90.4875,0.0,bottom
D11,47.625,-14.2875,0.0,bottom
D12,57.15,-33.3375,0.0,bottom
D13,61.9125,-52.3875,0.0,bottom
D14,66.675,-71.4375,0.0,bottom
D15,64.29375,-90.4875,0.0,bottom
D16,66.675,-14.2875,0.0,bottom
D17,76.2,-33.3375,0.0,bottom
D18,80.9625,-52.3875,0.0,bottom
D19,85.725,-71.4375,0.0,bottom
D2,14.2875,-33.3375,0.0,bottom
D20,88.10625,-90.4875,0.0,bottom
D21,85.8,-14.2875,0.0,bottom
D22,95.25,-33.3375,0.0,bottom
D23,100.0125,-52.3875,0.0,bottom
D24,104.775,-71.4375,0.0,bottom
D25,104.775,-14.2875,0.0,bottom
D26,114.3,-33.3375,0.0,bottom
D27,119.0625,-52.3875,0.0,bottom
D28,123.825,-71.4375,0.0,bottom
D29,128.5875,-90.4875,0.0,bottom
D3,16.66875,-52.3875,0.0,bottom
D30,123.825,-14.2875,0.0,bottom
D31,133.35,-33.3375,0.0,bottom
D32,138.1125,-52.3875,0.0,bottom
D33,142.875,-71.4375,0.0,bottom
D34,142.875,-14.2875,0.0,bottom
D35,152.4,-33.3375,0.0,bottom
D36,157.1625,-52.3875,0.0,bottom
D37,161.925,-71.4375,0.0,bottom
D38,161.925,-14.2875,0.0,bottom
D39,171.45,-33.3375,0.0,bottom
D4,19.05,-71.4375,0.0,bottom
D40,176.2125,-52.3875,0.0,bottom
D41,180.975,-71.4375,0.0,bottom
D42,169.06875,-90.4875,0.0,bottom
D43,180.975,-14.2875,0.0,bottom
D44,190.5,-33.3375,0.0,bottom
D45,195.2625,-52.3875,0.0,bottom
D46,200.025,-71.4375,0.0,bottom
D47,192.88125,-90.4875,0.0,bottom
D48,200.025,-14.2875,0.0,bottom
D49,209.55,-33.3375,0.0,bottom
D5,14.2875,-90.4875,0.0,bottom
D50,214.3125,-52.3875,0.0,bottom
D51,219.075,-71.4375,0.0,bottom
D52,216.69375,-90.4875,0.0,bottom
D53,219.075,-14.2875,0.0,bottom
D54,228.6,-33.3375,0.0,bottom
D55,233.3625,-52.3875,0.0,bottom
D56,238.125,-71.4375,0.0,bottom
D57,238.125,-90.4875,0.0,bottom
D58,238.125,-14.2875,0.0,bottom
D59,247.65,-33.3375,0.0,bottom
D6,28.575,-4.7625,180.0,bottom
D60,252.4125,-52.3875,0.0,bottom
D61,257.175,-71.4375,0.0,bottom
D62,257.175,-90.4875,0.0,bottom
D63,257.175,-14.2875,0.0,bottom
D64,276.225,-14.2875,0.0,bottom
D65,273.84375,-42.8625,0.0,bottom
D66,276.225,-71.4375,0.0,bottom
D67,276.225,-90.4875,0.0,bottom
D7,48.4,-33.4,180.0,bottom
D8,42.8625,-52.3875,0.0,bottom
D9,47.625,-71.4375,0.0,bottom
J1,18.2,-2.72,0.0,bottom
R1,17.0,-9.0,270.0,bottom
R3,19.8,-9.0,90.0,bottom
R4,34.5,-32.2,225.0,bottom
R5,33.4,-31.1,225.0,bottom
R6,36.6,-40.8,270.0,bottom
R7,41.0,-39.5,0.0,bottom
R8,21.9,-37.4,270.0,bottom
SW1,9.525,-9.525,180.0,top
SW10,40.48125,-85.725,0.0,top
SW11,47.625,-9.525,0.0,top
SW12,57.15,-28.575,0.0,top
SW13,61.9125,-47.625,0.0,top
SW14,66.675,-66.675,0.0,top
SW15,64.29375,-85.725,0.0,top
SW16,66.675,-9.525,0.0,top
SW17,76.2,-28.575,0.0,top
